"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","55",""
"2","4.754516","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","55",""
"3","9.684778","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","55",""
"4","14.448573","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","55",""
"5","19.418863","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","55",""
"6","24.679063","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","55",""
"7","26.695748","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","57",""
"8","27.475788","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","57",""
"9","28.219415","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","57",""
"10","29.495894","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","57",""
"11","30.755961","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","57",""
"12","32.006029","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","57",""
"13","33.295837","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","69",""
"14","34.296396","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"17","35.466407","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"20","39.709607","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"23","44.666893","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"28","57.827594","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"35","72.221348","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"40","84.238994","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"45","91.299364","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"52","107.860244","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"57","117.673751","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"64","131.291480","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"69","140.971991","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"74","151.322537","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"81","166.133321","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"88","180.334072","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
"91","187.967480","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","63",""
