"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","59","Link Request"
"2","5.134716","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","59","Link Request"
"3","10.204994","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","59","Link Request"
"4","15.375264","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","59","Link Request"
"5","20.365533","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","59","Link Request"
"6","25.085777","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","59","Link Request"
"7","27.405958","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","61","Parent Request"
"8","28.166008","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","61","Parent Request"
"9","28.936040","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","61","Parent Request"
"10","30.186107","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","61","Parent Request"
"11","31.440387","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","61","Parent Request"
"12","32.706242","fe80::2856:7164:7aaf:aac2","ff02::2","MLE","61","Parent Request"
"13","33.996111","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","73","Data Response"
"14","34.516535","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"17","36.780657","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"18","39.926830","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"23","47.357225","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"28","58.271787","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"33","69.198384","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"38","79.428929","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"45","94.349722","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"52","107.980441","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"57","118.080960","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"64","131.451682","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"67","139.482112","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"74","155.042924","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
"81","166.333529","fe80::2856:7164:7aaf:aac2","ff02::1","MLE","67","Advertisement"
