Timestamp(ms),Current(uA)
39020.17,7.924
39020.18,7.793
39020.19,7.880
39020.2,7.924
39020.21,7.924
39020.22,7.837
39020.23,7.924
39020.24,7.793
39020.25,7.880
39020.26,7.968
39020.27,7.880
39020.28,7.880
39020.29,8.099
39020.3,8.055
39020.31,8.099
39020.32,8.099
39020.33,8.055
39020.34,7.968
39020.35,8.143
39020.36,7.968
39020.37,7.968
39020.38,7.968
39020.39,7.924
39020.4,7.793
39020.41,8.012
39020.42,7.968
39020.43,8.099
39020.44,8.187
39020.45,8.055
39020.46,8.012
39020.47,8.099
39020.48,8.187
39020.49,8.055
39020.5,8.055
39020.51,8.099
39020.52,8.187
39020.53,7.968
39020.54,8.012
39020.55,8.143
39020.56,7.968
39020.57,7.968
39020.58,7.968
39020.59,8.012
39020.6,8.055
39020.61,8.055
39020.62,8.099
39020.63,8.143
39020.64,8.231
39020.65,8.318
39020.66,8.231
39020.67,8.055
39020.68,8.055
39020.69,8.099
39020.7,7.968
39020.71,8.274
39020.72,8.143
39020.73,8.099
39020.74,8.012
39020.75,7.793
39020.76,8.012
39020.77,7.924
39020.78,8.012
39020.79,7.880
39020.8,7.880
39020.81,8.012
39020.82,8.012
39020.83,7.924
39020.84,7.880
39020.85,7.968
39020.86,8.012
39020.87,8.055
39020.88,8.012
39020.89,7.924
39020.9,7.924
39020.91,7.924
39020.92,7.880
39020.93,7.968
39020.94,7.880
39020.95,7.837
39020.96,7.837
39020.97,7.880
39020.98,7.924
39020.99,7.924
39021,8.012
39021.01,7.793
39021.02,7.793
39021.03,7.793
39021.04,7.924
39021.05,7.793
39021.06,8.012
39021.07,8.012
39021.08,8.055
39021.09,8.012
39021.1,7.968
39021.11,8.012
39021.12,7.968
39021.13,7.968
39021.14,7.880
39021.15,7.880
39021.16,7.837
39021.17,7.968
39021.18,8.012
39021.19,7.968
39021.2,8.012
39021.21,7.968
39021.22,8.055
39021.23,7.924
39021.24,7.924
39021.25,7.749
39021.26,7.705
39021.27,7.793
39021.28,7.880
39021.29,7.793
39021.3,7.662
39021.31,7.880
39021.32,7.837
39021.33,7.837
39021.34,7.837
39021.35,7.749
39021.36,7.705
39021.37,7.705
39021.38,7.705
39021.39,7.837
39021.4,7.705
39021.41,7.749
39021.42,7.837
39021.43,7.662
39021.44,7.880
39021.45,7.793
39021.46,7.749
39021.47,7.924
39021.48,7.705
39021.49,7.749
39021.5,7.618
39021.51,7.837
39021.52,7.924
39021.53,7.837
39021.54,7.837
39021.55,7.837
39021.56,7.880
39021.57,7.793
39021.58,7.837
39021.59,7.880
39021.6,7.880
39021.61,7.968
39021.62,7.968
39021.63,8.187
39021.64,8.099
39021.65,7.968
39021.66,8.143
39021.67,8.012
39021.68,7.924
39021.69,7.880
39021.7,7.968
39021.71,7.880
39021.72,7.968
39021.73,8.012
39021.74,8.055
39021.75,8.318
39021.76,8.362
39021.77,8.274
39021.78,8.362
39021.79,8.143
39021.8,8.055
39021.81,8.143
39021.82,8.187
39021.83,8.143
39021.84,8.231
39021.85,8.274
39021.86,8.231
39021.87,8.187
39021.88,8.143
39021.89,8.187
39021.9,8.187
39021.91,8.143
39021.92,8.143
39021.93,8.187
39021.94,8.099
39021.95,8.231
39021.96,7.924
39021.97,7.968
39021.98,7.924
39021.99,7.968
39022,7.880
39022.01,8.012
39022.02,7.968
39022.03,8.187
39022.04,8.055
39022.05,8.187
39022.06,8.099
39022.07,8.143
39022.08,8.099
39022.09,8.099
39022.1,8.099
39022.11,7.968
39022.12,8.012
39022.13,7.968
39022.14,7.968
39022.15,8.099
39022.16,8.143
39022.17,8.099
39022.18,8.187
39022.19,8.099
39022.2,8.187
39022.21,8.055
39022.22,8.274
39022.23,8.231
39022.24,8.274
39022.25,8.274
39022.26,8.318
39022.27,8.318
39022.28,8.318
39022.29,8.143
39022.3,8.143
39022.31,8.099
39022.32,7.968
39022.33,8.012
39022.34,8.143
39022.35,8.055
39022.36,8.143
39022.37,8.099
39022.38,8.143
39022.39,8.187
39022.4,8.143
39022.41,8.055
39022.42,8.187
39022.43,8.099
39022.44,8.099
39022.45,7.968
39022.46,7.924
39022.47,8.055
39022.48,8.055
39022.49,7.924
39022.5,7.880
39022.51,7.793
39022.52,8.012
39022.53,8.055
39022.54,8.012
39022.55,7.924
39022.56,7.749
39022.57,7.880
39022.58,8.012
39022.59,8.012
39022.6,8.055
39022.61,7.880
39022.62,8.187
39022.63,8.055
39022.64,8.055
39022.65,8.143
39022.66,8.143
39022.67,7.968
39022.68,7.924
39022.69,8.012
39022.7,8.055
39022.71,7.880
39022.72,7.924
39022.73,7.837
39022.74,8.012
39022.75,8.055
39022.76,8.099
39022.77,7.968
39022.78,7.968
39022.79,8.143
39022.8,8.099
39022.81,8.143
39022.82,8.231
39022.83,8.143
39022.84,8.187
39022.85,8.055
39022.86,8.143
39022.87,8.318
39022.88,8.318
39022.89,8.406
39022.9,8.231
39022.91,8.274
39022.92,8.187
39022.93,8.099
39022.94,8.143
39022.95,8.055
39022.96,8.231
39022.97,8.143
39022.98,8.143
39022.99,8.187
39023,8.187
39023.01,7.968
39023.02,7.924
39023.03,7.968
39023.04,8.012
39023.05,8.012
39023.06,8.143
39023.07,8.187
39023.08,8.055
39023.09,8.055
39023.1,8.012
39023.11,7.880
39023.12,8.012
39023.13,8.012
39023.14,7.837
39023.15,7.837
39023.16,7.793
39023.17,7.705
39023.18,7.924
39023.19,7.793
39023.2,7.837
39023.21,7.793
39023.22,7.793
39023.23,7.793
39023.24,7.880
39023.25,7.837
39023.26,7.793
39023.27,7.793
39023.28,7.880
39023.29,7.618
39023.3,7.837
39023.31,7.880
39023.32,7.749
39023.33,7.837
39023.34,7.749
39023.35,7.662
39023.36,7.618
39023.37,7.793
39023.38,7.749
39023.39,7.837
39023.4,7.618
39023.41,7.924
39023.42,7.793
39023.43,7.880
39023.44,7.793
39023.45,7.924
39023.46,8.055
39023.47,8.012
39023.48,7.968
39023.49,8.099
39023.5,7.968
39023.51,8.143
39023.52,8.055
39023.53,7.968
39023.54,8.143
39023.55,8.055
39023.56,8.187
39023.57,8.143
39023.58,8.055
39023.59,7.968
39023.6,7.837
39023.61,7.968
39023.62,7.968
39023.63,7.837
39023.64,7.880
39023.65,7.968
39023.66,7.924
39023.67,7.837
39023.68,7.924
39023.69,8.012
39023.7,8.012
39023.71,8.143
39023.72,8.099
39023.73,8.099
39023.74,8.055
39023.75,8.143
39023.76,7.968
39023.77,8.099
39023.78,8.055
39023.79,7.968
39023.8,7.880
39023.81,7.924
39023.82,7.837
39023.83,7.837
39023.84,7.968
39023.85,8.055
39023.86,8.231
39023.87,8.099
39023.88,7.924
39023.89,7.968
39023.9,8.012
39023.91,8.099
