Timestamp(ms),Current(uA)
40953.82,7.968
40953.83,8.099
40953.84,7.924
40953.85,8.012
40953.86,8.012
40953.87,7.968
40953.88,7.880
40953.89,8.099
40953.9,8.055
40953.91,8.099
40953.92,8.187
40953.93,8.099
40953.94,8.012
40953.95,8.012
40953.96,8.012
40953.97,8.099
40953.98,8.055
40953.99,8.099
40954,8.187
40954.01,8.143
40954.02,8.143
40954.03,8.099
40954.04,8.143
40954.05,8.099
40954.06,8.099
40954.07,8.055
40954.08,8.055
40954.09,8.055
40954.1,7.880
40954.11,7.837
40954.12,8.012
40954.13,7.793
40954.14,7.880
40954.15,7.924
40954.16,7.837
40954.17,7.837
40954.18,7.880
40954.19,7.924
40954.2,7.793
40954.21,7.880
40954.22,7.880
40954.23,7.924
40954.24,7.924
40954.25,7.968
40954.26,8.012
40954.27,7.924
40954.28,7.837
40954.29,8.143
40954.3,8.099
40954.31,8.187
40954.32,8.187
40954.33,8.318
40954.34,8.231
40954.35,8.274
40954.36,8.143
40954.37,8.055
40954.38,8.055
40954.39,8.055
40954.4,8.012
40954.41,7.837
40954.42,7.793
40954.43,7.880
40954.44,7.837
40954.45,7.793
40954.46,8.012
40954.47,8.143
40954.48,8.012
40954.49,8.099
40954.5,7.880
40954.51,7.968
40954.52,8.012
40954.53,7.793
40954.54,8.012
40954.55,7.793
40954.56,7.880
40954.57,7.880
40954.58,7.837
40954.59,7.837
40954.6,7.793
40954.61,7.837
40954.62,7.749
40954.63,7.837
40954.64,7.618
40954.65,7.662
40954.66,7.837
40954.67,7.705
40954.68,7.662
40954.69,7.662
40954.7,7.662
40954.71,7.662
40954.72,7.574
40954.73,7.749
40954.74,7.837
40954.75,7.880
40954.76,7.880
40954.77,7.880
40954.78,7.749
40954.79,7.793
40954.8,7.705
40954.81,7.880
40954.82,7.793
40954.83,7.880
40954.84,7.880
40954.85,7.793
40954.86,7.618
40954.87,7.662
40954.88,7.662
40954.89,7.749
40954.9,7.837
40954.91,7.880
40954.92,7.793
40954.93,7.924
40954.94,7.880
40954.95,7.837
40954.96,7.837
40954.97,7.968
40954.98,7.924
40954.99,7.968
40955,8.055
40955.01,7.968
40955.02,7.793
40955.03,7.924
40955.04,7.793
40955.05,7.968
40955.06,8.055
40955.07,7.837
40955.08,8.012
40955.09,7.837
40955.1,7.837
40955.11,7.924
40955.12,8.012
40955.13,7.968
40955.14,8.055
40955.15,8.143
40955.16,7.968
40955.17,8.055
40955.18,8.055
40955.19,8.055
40955.2,7.968
40955.21,8.055
40955.22,7.880
40955.23,7.924
40955.24,7.837
40955.25,7.968
40955.26,7.793
40955.27,7.924
40955.28,7.924
40955.29,8.012
40955.3,7.837
40955.31,7.924
40955.32,7.793
40955.33,7.837
40955.34,7.837
40955.35,8.055
40955.36,8.099
40955.37,7.880
40955.38,7.968
40955.39,7.837
40955.4,7.880
40955.41,7.749
40955.42,7.662
40955.43,7.837
40955.44,7.749
40955.45,7.793
40955.46,7.662
40955.47,7.793
40955.48,7.618
40955.49,7.618
40955.5,7.837
40955.51,7.793
40955.52,7.662
40955.53,7.837
40955.54,7.662
40955.55,7.705
40955.56,7.530
40955.57,7.793
40955.58,7.749
40955.59,7.924
40955.6,7.924
40955.61,8.012
40955.62,8.012
40955.63,7.924
40955.64,7.968
40955.65,8.099
40955.66,7.924
40955.67,8.012
40955.68,7.968
40955.69,7.968
40955.7,8.099
40955.71,7.880
40955.72,7.880
40955.73,7.968
40955.74,8.055
40955.75,7.924
40955.76,7.924
40955.77,7.837
40955.78,7.924
40955.79,8.012
40955.8,7.924
40955.81,8.012
40955.82,8.099
40955.83,8.055
40955.84,8.274
40955.85,8.274
40955.86,8.143
40955.87,8.143
40955.88,8.012
40955.89,7.924
40955.9,7.968
40955.91,8.012
40955.92,8.055
40955.93,8.055
40955.94,8.012
40955.95,7.968
40955.96,7.924
40955.97,7.924
40955.98,7.924
40955.99,8.012
40956,7.924
40956.01,7.924
40956.02,8.099
40956.03,8.099
40956.04,7.924
40956.05,7.968
40956.06,7.968
40956.07,8.012
40956.08,8.012
40956.09,8.099
40956.1,7.968
40956.11,7.924
40956.12,8.012
40956.13,7.968
40956.14,7.968
40956.15,7.968
40956.16,7.968
40956.17,8.012
40956.18,8.012
40956.19,7.924
40956.2,7.705
40956.21,7.837
40956.22,7.574
40956.23,7.749
40956.24,7.618
40956.25,7.574
40956.26,7.530
40956.27,7.662
40956.28,7.618
40956.29,7.399
40956.3,7.487
40956.31,7.443
40956.32,7.530
40956.33,7.443
40956.34,7.574
40956.35,7.574
40956.36,7.880
40956.37,7.880
40956.38,7.793
40956.39,7.880
40956.4,7.705
40956.41,7.662
40956.42,7.618
40956.43,7.618
40956.44,7.618
40956.45,7.574
40956.46,7.574
40956.47,7.837
40956.48,7.662
40956.49,7.618
40956.5,7.618
40956.51,7.662
40956.52,7.880
40956.53,7.705
40956.54,7.924
40956.55,7.880
40956.56,7.793
40956.57,8.012
40956.58,7.705
40956.59,7.880
40956.6,7.880
40956.61,8.012
40956.62,7.924
40956.63,7.793
40956.64,7.793
40956.65,7.924
40956.66,7.880
40956.67,7.793
40956.68,7.880
40956.69,7.924
40956.7,8.055
40956.71,7.968
40956.72,8.099
40956.73,7.968
40956.74,8.012
40956.75,7.880
40956.76,8.012
40956.77,8.012
40956.78,7.880
40956.79,8.012
40956.8,7.924
40956.81,7.793
40956.82,7.705
40956.83,7.662
40956.84,7.793
40956.85,7.924
40956.86,7.705
40956.87,7.749
40956.88,7.793
40956.89,7.968
40956.9,8.012
40956.91,7.880
40956.92,7.793
40956.93,7.968
40956.94,8.055
40956.95,7.924
40956.96,8.012
40956.97,7.924
40956.98,7.968
40956.99,7.924
40957,8.055
40957.01,7.880
40957.02,7.837
40957.03,7.924
40957.04,7.880
40957.05,7.880
40957.06,7.880
40957.07,7.793
40957.08,7.793
40957.09,7.793
40957.1,7.662
40957.11,7.574
40957.12,7.662
40957.13,7.749
40957.14,7.793
40957.15,7.793
40957.16,7.924
40957.17,7.880
40957.18,7.749
40957.19,7.880
40957.2,7.749
40957.21,7.705
40957.22,7.749
40957.23,7.837
40957.24,7.705
40957.25,7.749
40957.26,7.705
40957.27,7.574
40957.28,7.705
40957.29,7.749
40957.3,7.662
40957.31,8.012
40957.32,7.749
40957.33,7.837
40957.34,7.880
40957.35,7.924
40957.36,8.012
40957.37,8.012
40957.38,8.099
40957.39,8.143
40957.4,8.099
40957.41,7.968
40957.42,8.055
40957.43,8.012
40957.44,8.012
40957.45,8.143
40957.46,7.968
40957.47,8.055
40957.48,7.968
40957.49,7.968
40957.5,8.012
40957.51,8.012
40957.52,8.143
40957.53,8.055
40957.54,8.099
40957.55,8.099
40957.56,8.099
40957.57,8.187
40957.58,8.143
40957.59,8.055
40957.6,7.968
40957.61,8.055
40957.62,8.055
40957.63,7.968
40957.64,7.924
40957.65,7.968
40957.66,8.012
40957.67,7.924
40957.68,8.187
40957.69,8.099
40957.7,8.012
40957.71,7.968
40957.72,8.099
40957.73,8.055
40957.74,8.143
40957.75,8.274
40957.76,8.143
40957.77,8.143
40957.78,8.055
40957.79,8.012
40957.8,8.012
40957.81,7.924
40957.82,7.968
40957.83,7.880
40957.84,7.968
40957.85,7.968
40957.86,7.924
40957.87,7.968
40957.88,8.099
40957.89,8.231
40957.9,8.187
40957.91,8.099
40957.92,8.274
40957.93,8.055
40957.94,8.012
40957.95,8.143
40957.96,8.012
40957.97,7.968
40957.98,7.924
40957.99,7.837
40958,7.837
40958.01,7.880
40958.02,7.924
40958.03,7.924
40958.04,7.793
40958.05,7.968
40958.06,8.012
40958.07,7.880
40958.08,7.705
40958.09,7.837
40958.1,7.837
40958.11,7.793
40958.12,7.880
40958.13,7.924
40958.14,7.968
40958.15,8.012
40958.16,8.012
40958.17,8.274
40958.18,8.099
40958.19,8.274
40958.2,8.274
40958.21,7.968
40958.22,8.055
40958.23,8.099
40958.24,8.099
40958.25,8.099
40958.26,8.143
40958.27,8.143
40958.28,8.231
40958.29,8.187
40958.3,8.099
40958.31,8.055
40958.32,8.055
40958.33,8.055
40958.34,8.099
40958.35,8.055
40958.36,8.055
40958.37,8.274
40958.38,8.055
40958.39,8.274
40958.4,8.012
40958.41,8.143
40958.42,8.055
40958.43,8.318
40958.44,8.231
40958.45,8.231
40958.46,8.187
40958.47,8.099
40958.48,8.143
40958.49,8.143
40958.5,8.143
40958.51,8.055
40958.52,8.231
40958.53,8.406
40958.54,8.143
40958.55,8.187
40958.56,8.231
40958.57,8.231
40958.58,8.274
40958.59,8.231
40958.6,8.187
40958.61,8.231
40958.62,8.099
40958.63,8.099
40958.64,8.055
40958.65,8.143
40958.66,8.099
40958.67,7.924
40958.68,7.968
40958.69,7.880
40958.7,7.749
40958.71,8.012
40958.72,7.968
40958.73,8.099
40958.74,8.012
40958.75,7.968
40958.76,8.099
40958.77,8.055
40958.78,8.187
40958.79,8.187
40958.8,8.055
40958.81,8.012
40958.82,8.143
40958.83,8.099
40958.84,8.274
40958.85,8.318
40958.86,7.968
40958.87,8.012
40958.88,8.055
40958.89,8.187
40958.9,7.968
40958.91,7.924
40958.92,8.099
40958.93,8.012
40958.94,8.362
40958.95,8.143
40958.96,8.362
40958.97,8.318
40958.98,8.318
40958.99,8.143
40959,8.099
40959.01,8.099
40959.02,8.012
40959.03,8.143
40959.04,8.012
40959.05,8.012
40959.06,8.012
40959.07,8.012
40959.08,7.880
40959.09,7.880
40959.1,7.837
40959.11,7.880
40959.12,8.099
40959.13,8.099
40959.14,8.099
40959.15,8.012
40959.16,7.880
40959.17,8.012
40959.18,7.793
40959.19,7.924
40959.2,7.924
40959.21,7.968
40959.22,7.793
40959.23,7.837
40959.24,7.574
40959.25,7.749
40959.26,7.618
40959.27,7.618
40959.28,7.618
40959.29,7.662
40959.3,7.530
40959.31,7.705
40959.32,7.880
40959.33,7.705
40959.34,7.793
40959.35,8.055
40959.36,7.837
40959.37,7.968
40959.38,8.055
40959.39,7.924
40959.4,7.968
40959.41,8.143
40959.42,7.968
40959.43,8.012
40959.44,7.968
40959.45,7.924
40959.46,8.012
40959.47,8.055
40959.48,7.924
40959.49,8.012
40959.5,8.012
40959.51,7.968
40959.52,8.012
40959.53,7.880
40959.54,7.880
40959.55,8.012
40959.56,8.012
40959.57,7.968
40959.58,7.968
40959.59,8.012
40959.6,7.968
40959.61,8.055
40959.62,7.968
40959.63,7.968
40959.64,8.012
40959.65,7.880
40959.66,8.012
40959.67,8.099
40959.68,7.880
40959.69,7.924
40959.7,7.749
40959.71,7.880
40959.72,7.924
40959.73,8.099
40959.74,8.187
40959.75,8.012
40959.76,8.187
40959.77,8.055
40959.78,8.055
40959.79,8.187
40959.8,8.143
40959.81,8.012
40959.82,8.187
40959.83,7.880
40959.84,8.012
40959.85,8.187
40959.86,7.968
40959.87,8.231
40959.88,8.187
40959.89,8.099
40959.9,8.143
40959.91,8.143
40959.92,8.231
40959.93,8.274
40959.94,8.318
40959.95,8.143
40959.96,8.143
40959.97,8.231
40959.98,8.012
40959.99,8.187
40960,8.099
40960.01,8.099
40960.02,8.055
40960.03,8.012
40960.04,8.012
40960.05,8.099
40960.06,7.968
40960.07,7.924
40960.08,7.968
40960.09,7.924
