Timestamp(ms),Current(uA)
38792.65,8.231
38792.66,8.055
38792.67,8.187
38792.68,8.012
38792.69,7.924
38792.7,7.880
38792.71,7.924
38792.72,7.880
38792.73,7.749
38792.74,7.880
38792.75,7.880
38792.76,7.880
38792.77,7.793
38792.78,8.012
38792.79,7.880
38792.8,7.924
38792.81,7.837
38792.82,7.793
38792.83,7.793
38792.84,7.837
38792.85,7.968
38792.86,7.793
38792.87,7.793
38792.88,7.924
38792.89,7.793
38792.9,7.880
38792.91,7.793
38792.92,7.793
38792.93,7.837
38792.94,7.793
38792.95,7.880
38792.96,8.012
38792.97,7.880
38792.98,7.968
38792.99,8.143
38793,8.099
38793.01,8.318
38793.02,8.362
38793.03,8.362
38793.04,8.274
38793.05,8.231
38793.06,8.143
38793.07,8.099
38793.08,8.231
38793.09,8.274
38793.1,8.231
38793.11,8.099
38793.12,8.187
38793.13,8.143
38793.14,8.099
38793.15,8.055
38793.16,7.793
38793.17,7.924
38793.18,7.837
38793.19,7.924
38793.2,7.880
38793.21,7.837
38793.22,7.880
38793.23,7.968
38793.24,7.968
38793.25,8.012
38793.26,8.099
38793.27,7.880
38793.28,7.880
38793.29,7.837
38793.3,7.924
38793.31,7.880
38793.32,7.793
38793.33,7.793
38793.34,7.837
38793.35,7.837
38793.36,7.837
38793.37,7.880
38793.38,7.924
38793.39,7.924
38793.4,7.924
38793.41,7.880
38793.42,7.880
38793.43,7.968
38793.44,7.837
38793.45,7.793
38793.46,7.968
38793.47,7.880
38793.48,7.880
38793.49,7.793
38793.5,7.705
38793.51,7.793
38793.52,7.793
38793.53,7.880
38793.54,8.099
38793.55,8.143
38793.56,8.099
38793.57,8.143
38793.58,8.099
38793.59,8.099
38793.6,8.099
38793.61,8.231
38793.62,8.231
38793.63,8.231
38793.64,8.099
38793.65,8.187
38793.66,8.099
38793.67,8.143
38793.68,8.099
38793.69,8.099
38793.7,7.968
38793.71,8.187
38793.72,8.099
38793.73,8.055
38793.74,8.187
38793.75,8.362
38793.76,8.362
38793.77,8.449
38793.78,8.231
38793.79,8.362
38793.8,8.231
38793.81,8.099
38793.82,8.274
38793.83,8.231
38793.84,8.187
38793.85,7.968
38793.86,7.924
38793.87,8.012
38793.88,7.793
38793.89,7.880
38793.9,7.880
38793.91,7.924
38793.92,7.837
38793.93,7.924
38793.94,7.880
38793.95,7.880
38793.96,8.012
38793.97,7.924
38793.98,8.055
38793.99,8.012
38794,8.099
38794.01,8.187
38794.02,8.143
38794.03,7.924
38794.04,7.968
38794.05,8.055
38794.06,8.055
38794.07,8.187
38794.08,7.968
38794.09,8.187
38794.1,8.143
38794.11,8.274
38794.12,8.231
38794.13,8.406
38794.14,8.231
38794.15,8.274
38794.16,8.187
38794.17,8.055
38794.18,8.231
38794.19,8.362
38794.2,8.318
38794.21,8.231
38794.22,8.231
38794.23,8.318
38794.24,8.274
38794.25,8.099
38794.26,8.231
38794.27,8.143
38794.28,8.055
38794.29,8.231
38794.3,8.187
38794.31,8.099
38794.32,8.231
38794.33,8.187
38794.34,8.274
38794.35,8.187
38794.36,8.099
38794.37,8.231
38794.38,8.187
38794.39,8.099
38794.4,8.055
38794.41,8.055
38794.42,8.231
38794.43,8.187
38794.44,8.055
38794.45,8.231
38794.46,8.187
38794.47,8.187
38794.48,8.143
38794.49,7.968
38794.5,7.968
38794.51,8.055
38794.52,7.837
38794.53,7.837
38794.54,8.099
38794.55,8.012
38794.56,8.143
38794.57,8.012
38794.58,8.055
38794.59,7.924
38794.6,7.924
38794.61,7.924
38794.62,7.968
38794.63,8.012
38794.64,7.793
38794.65,7.968
38794.66,7.880
38794.67,7.793
38794.68,7.793
38794.69,7.793
38794.7,7.749
38794.71,7.793
38794.72,7.837
38794.73,7.924
38794.74,7.793
38794.75,8.099
38794.76,8.012
38794.77,8.012
38794.78,7.968
38794.79,7.968
38794.8,7.793
38794.81,7.880
38794.82,8.012
38794.83,7.837
38794.84,8.012
38794.85,7.837
38794.86,7.924
38794.87,7.837
38794.88,7.968
38794.89,7.705
38794.9,7.924
38794.91,7.924
38794.92,8.012
38794.93,7.924
38794.94,8.012
38794.95,7.880
38794.96,8.099
38794.97,8.012
38794.98,7.968
38794.99,7.924
38795,7.968
38795.01,7.968
38795.02,7.793
38795.03,7.880
38795.04,7.793
38795.05,7.793
38795.06,7.837
38795.07,7.880
38795.08,7.924
38795.09,8.012
38795.1,7.968
38795.11,7.968
38795.12,8.099
38795.13,8.099
38795.14,7.880
38795.15,7.880
38795.16,7.880
38795.17,7.924
38795.18,7.837
38795.19,7.749
38795.2,7.618
38795.21,7.662
38795.22,7.837
38795.23,7.880
38795.24,8.012
38795.25,8.099
38795.26,8.099
38795.27,8.055
38795.28,7.968
38795.29,8.099
38795.3,8.012
38795.31,7.793
38795.32,7.924
38795.33,8.012
38795.34,7.968
38795.35,7.924
38795.36,7.837
38795.37,7.793
38795.38,7.749
38795.39,7.837
38795.4,7.793
38795.41,7.705
38795.42,7.793
38795.43,7.749
38795.44,7.924
38795.45,7.793
38795.46,7.793
38795.47,7.749
38795.48,7.880
38795.49,7.924
38795.5,7.924
38795.51,7.968
38795.52,8.055
38795.53,8.055
38795.54,7.968
38795.55,8.099
38795.56,8.099
38795.57,8.187
38795.58,8.012
38795.59,8.012
38795.6,7.968
38795.61,8.099
38795.62,8.055
38795.63,8.055
38795.64,7.968
38795.65,7.880
38795.66,7.880
38795.67,8.012
38795.68,7.880
38795.69,8.012
38795.7,8.012
38795.71,8.099
38795.72,8.187
38795.73,8.099
38795.74,8.055
38795.75,8.055
38795.76,8.012
38795.77,7.924
38795.78,8.012
38795.79,7.793
38795.8,7.924
38795.81,7.793
38795.82,7.793
38795.83,7.837
38795.84,7.793
38795.85,7.837
38795.86,7.705
38795.87,7.705
38795.88,7.749
38795.89,7.837
38795.9,7.793
38795.91,7.574
38795.92,7.662
38795.93,7.662
38795.94,7.443
38795.95,7.749
38795.96,7.749
38795.97,7.574
38795.98,7.574
38795.99,7.530
38796,7.837
38796.01,7.793
38796.02,7.924
38796.03,7.837
38796.04,8.012
38796.05,7.793
38796.06,7.924
38796.07,8.012
38796.08,8.099
38796.09,8.055
38796.1,8.012
38796.11,8.055
38796.12,8.012
38796.13,7.924
38796.14,7.968
38796.15,7.968
38796.16,7.793
38796.17,7.793
38796.18,7.924
38796.19,7.837
38796.2,7.924
38796.21,8.055
38796.22,7.880
38796.23,8.099
38796.24,8.099
38796.25,7.924
38796.26,7.968
38796.27,7.837
38796.28,7.880
38796.29,7.880
38796.3,8.012
38796.31,8.012
38796.32,8.012
38796.33,7.880
38796.34,7.880
38796.35,7.968
38796.36,8.012
38796.37,7.837
38796.38,7.924
38796.39,7.837
38796.4,7.924
38796.41,7.968
38796.42,7.837
38796.43,8.012
38796.44,8.012
38796.45,7.880
38796.46,7.793
38796.47,7.924
38796.48,7.793
38796.49,7.837
38796.5,7.793
38796.51,7.749
38796.52,7.793
38796.53,7.880
38796.54,7.793
38796.55,7.793
38796.56,7.705
38796.57,7.618
38796.58,7.705
38796.59,7.793
38796.6,7.705
38796.61,7.705
38796.62,7.574
38796.63,7.662
38796.64,7.618
38796.65,7.705
38796.66,7.618
38796.67,7.662
38796.68,7.749
38796.69,7.705
38796.7,7.793
38796.71,7.705
38796.72,7.705
38796.73,7.837
38796.74,7.968
38796.75,7.793
38796.76,7.968
38796.77,7.837
38796.78,7.924
38796.79,7.793
38796.8,7.837
38796.81,7.837
38796.82,7.705
38796.83,7.662
38796.84,7.662
38796.85,7.705
38796.86,7.574
38796.87,7.487
38796.88,7.749
38796.89,7.749
38796.9,8.012
38796.91,7.968
38796.92,8.099
38796.93,7.837
38796.94,7.924
38796.95,7.880
38796.96,7.837
38796.97,7.880
38796.98,7.837
38796.99,7.793
38797,7.793
38797.01,8.012
38797.02,7.880
38797.03,7.968
38797.04,7.924
38797.05,7.924
38797.06,7.880
38797.07,7.968
38797.08,7.749
38797.09,7.837
38797.1,7.793
38797.11,7.837
38797.12,7.968
38797.13,8.055
38797.14,8.231
38797.15,8.143
38797.16,8.187
38797.17,8.143
38797.18,8.143
38797.19,8.143
38797.2,8.274
38797.21,8.099
38797.22,8.143
38797.23,8.143
38797.24,8.055
38797.25,8.055
38797.26,8.012
38797.27,8.099
38797.28,8.055
