Timestamp(ms),Current(uA)
41457.79,8.055
41457.8,7.968
41457.81,7.837
41457.82,7.837
41457.83,7.793
41457.84,8.012
41457.85,7.837
41457.86,7.793
41457.87,7.924
41457.88,7.924
41457.89,7.968
41457.9,7.880
41457.91,7.837
41457.92,8.012
41457.93,8.012
41457.94,7.880
41457.95,7.924
41457.96,7.924
41457.97,8.012
41457.98,7.749
41457.99,7.837
41458,7.968
41458.01,7.968
41458.02,7.880
41458.03,7.924
41458.04,7.880
41458.05,7.968
41458.06,7.880
41458.07,7.880
41458.08,8.012
41458.09,8.012
41458.1,8.187
41458.11,8.187
41458.12,8.187
41458.13,8.231
41458.14,7.968
41458.15,8.012
41458.16,8.012
41458.17,7.924
41458.18,7.924
41458.19,7.924
41458.2,7.880
41458.21,7.968
41458.22,8.099
41458.23,8.099
41458.24,8.231
41458.25,8.099
41458.26,8.143
41458.27,8.187
41458.28,8.099
41458.29,7.968
41458.3,8.055
41458.31,8.012
41458.32,7.968
41458.33,7.837
41458.34,7.924
41458.35,7.793
41458.36,7.880
41458.37,7.705
41458.38,7.793
41458.39,7.749
41458.4,7.705
41458.41,7.793
41458.42,7.924
41458.43,7.837
41458.44,7.924
41458.45,8.012
41458.46,8.012
41458.47,8.055
41458.48,8.012
41458.49,7.968
41458.5,7.880
41458.51,7.924
41458.52,8.143
41458.53,8.055
41458.54,8.187
41458.55,8.012
41458.56,8.012
41458.57,8.143
41458.58,8.187
41458.59,8.012
41458.6,7.968
41458.61,8.187
41458.62,8.012
41458.63,8.055
41458.64,7.968
41458.65,7.968
41458.66,7.924
41458.67,7.968
41458.68,7.880
41458.69,7.880
41458.7,8.187
41458.71,8.055
41458.72,8.187
41458.73,8.231
41458.74,8.318
41458.75,8.143
41458.76,8.274
41458.77,8.274
41458.78,8.187
41458.79,8.143
41458.8,8.143
41458.81,8.274
41458.82,8.055
41458.83,8.143
41458.84,8.099
41458.85,7.968
41458.86,8.012
41458.87,7.924
41458.88,8.012
41458.89,8.099
41458.9,8.055
41458.91,8.099
41458.92,8.143
41458.93,8.099
41458.94,8.099
41458.95,8.099
41458.96,8.143
41458.97,8.099
41458.98,8.055
41458.99,8.187
41459,8.099
41459.01,8.362
41459.02,8.055
41459.03,8.187
41459.04,8.055
41459.05,8.099
41459.06,7.968
41459.07,8.012
41459.08,8.187
41459.09,8.055
41459.1,8.143
41459.11,8.274
41459.12,8.099
41459.13,8.231
41459.14,8.099
41459.15,8.274
41459.16,8.143
41459.17,8.055
41459.18,8.187
41459.19,7.968
41459.2,7.968
41459.21,7.880
41459.22,7.968
41459.23,8.187
41459.24,8.143
41459.25,7.968
41459.26,8.055
41459.27,7.793
41459.28,8.012
41459.29,7.968
41459.3,7.968
41459.31,7.837
41459.32,7.924
41459.33,7.924
41459.34,7.968
41459.35,8.055
41459.36,7.793
41459.37,7.924
41459.38,7.793
41459.39,7.880
41459.4,8.012
41459.41,8.099
41459.42,7.968
41459.43,8.099
41459.44,8.231
41459.45,8.187
41459.46,8.099
41459.47,8.143
41459.48,8.231
41459.49,8.099
41459.5,8.274
41459.51,8.231
41459.52,8.318
41459.53,8.187
41459.54,8.187
41459.55,8.099
41459.56,8.012
41459.57,8.099
41459.58,7.924
41459.59,8.099
41459.6,7.968
41459.61,7.837
41459.62,7.968
41459.63,7.880
41459.64,7.924
41459.65,8.055
41459.66,8.099
41459.67,8.187
41459.68,8.099
41459.69,8.187
41459.7,8.012
41459.71,7.968
41459.72,8.187
41459.73,7.968
41459.74,7.968
41459.75,8.055
41459.76,7.793
41459.77,8.012
41459.78,8.187
41459.79,8.012
41459.8,7.968
41459.81,8.187
41459.82,7.924
41459.83,8.099
41459.84,8.012
41459.85,8.099
41459.86,8.012
41459.87,7.837
41459.88,7.880
41459.89,7.924
41459.9,7.880
41459.91,7.924
41459.92,8.055
41459.93,7.793
41459.94,8.187
41459.95,8.099
41459.96,8.012
41459.97,7.968
41459.98,8.055
41459.99,8.055
41460,7.968
41460.01,7.968
41460.02,8.187
41460.03,7.968
41460.04,7.924
41460.05,8.143
41460.06,8.055
41460.07,7.968
41460.08,8.012
41460.09,7.968
41460.1,7.968
41460.11,8.099
41460.12,8.055
41460.13,8.099
41460.14,8.187
41460.15,8.231
41460.16,8.187
41460.17,8.055
41460.18,8.187
41460.19,8.143
41460.2,8.099
41460.21,8.143
41460.22,8.012
41460.23,7.968
41460.24,8.099
41460.25,8.099
41460.26,8.099
41460.27,8.055
41460.28,8.055
41460.29,8.143
41460.3,8.231
41460.31,8.231
41460.32,8.231
41460.33,8.274
41460.34,8.143
41460.35,8.143
41460.36,8.187
41460.37,8.143
41460.38,8.231
41460.39,7.924
41460.4,8.187
41460.41,7.968
41460.42,7.924
41460.43,8.012
41460.44,7.924
41460.45,8.012
41460.46,7.968
41460.47,8.012
41460.48,8.012
41460.49,8.055
41460.5,8.055
41460.51,8.055
41460.52,8.187
41460.53,8.099
41460.54,8.099
41460.55,8.406
41460.56,8.187
41460.57,8.318
41460.58,8.274
41460.59,8.099
41460.6,8.231
41460.61,8.143
41460.62,8.187
41460.63,8.055
41460.64,7.968
41460.65,8.055
41460.66,8.099
41460.67,8.055
41460.68,8.099
41460.69,8.187
41460.7,8.099
41460.71,8.055
41460.72,8.055
41460.73,8.187
41460.74,7.968
41460.75,7.924
41460.76,8.055
41460.77,7.968
41460.78,8.143
41460.79,7.968
41460.8,8.012
41460.81,7.924
41460.82,7.924
41460.83,7.793
41460.84,7.968
41460.85,7.880
41460.86,8.055
41460.87,8.012
41460.88,8.143
41460.89,8.012
41460.9,8.231
41460.91,8.012
41460.92,8.055
41460.93,8.187
41460.94,8.187
41460.95,8.012
41460.96,8.187
41460.97,8.099
41460.98,7.968
41460.99,8.012
41461,7.793
41461.01,7.837
41461.02,7.837
41461.03,7.837
41461.04,7.705
41461.05,7.837
41461.06,7.749
41461.07,7.793
41461.08,7.705
41461.09,7.924
41461.1,7.793
41461.11,7.880
41461.12,7.705
41461.13,7.924
41461.14,7.793
41461.15,8.012
41461.16,7.924
41461.17,7.968
41461.18,7.924
41461.19,8.012
41461.2,7.924
41461.21,8.012
41461.22,8.187
41461.23,8.143
41461.24,8.012
41461.25,7.968
41461.26,8.099
41461.27,8.055
41461.28,8.274
41461.29,8.099
41461.3,8.099
41461.31,8.099
41461.32,8.274
41461.33,8.187
41461.34,8.099
41461.35,8.187
41461.36,8.099
41461.37,7.924
41461.38,8.143
41461.39,8.099
41461.4,8.055
41461.41,8.055
41461.42,8.099
41461.43,7.968
41461.44,7.793
41461.45,7.924
41461.46,7.705
41461.47,7.574
41461.48,7.837
41461.49,7.793
41461.5,7.837
41461.51,7.793
41461.52,7.837
41461.53,7.662
41461.54,7.705
41461.55,7.662
41461.56,7.574
41461.57,7.618
41461.58,7.662
41461.59,7.662
41461.6,7.705
41461.61,7.749
41461.62,7.837
41461.63,7.705
41461.64,7.793
41461.65,7.749
41461.66,7.968
41461.67,8.012
41461.68,7.837
41461.69,8.012
41461.7,8.143
41461.71,8.099
41461.72,8.231
41461.73,8.143
41461.74,8.099
41461.75,7.968
41461.76,7.968
41461.77,7.968
41461.78,7.837
41461.79,7.924
41461.8,8.055
41461.81,8.055
41461.82,7.880
41461.83,8.012
41461.84,7.880
41461.85,8.012
41461.86,7.793
41461.87,7.968
41461.88,7.705
41461.89,7.793
41461.9,7.837
41461.91,7.837
41461.92,7.880
